model,avg_accuracy,avg_roc_auc,avg_log_loss,avg_brier_score
Model C - Efficiency,0.6264445600803045,0.673197361578153,0.6420705229078967,0.22567199660355233
Model B - Current,0.6255356928159266,0.6727336885763315,0.642357679013059,0.22579210920924783
Model A - Simple,0.6273054157121497,0.6697442353091485,0.6443321647469071,0.22675613482999726
