season,week,game_id,team,off_epa,def_epa,pass_epa,rush_epa,success_rate,pace,offensive_plays,defensive_plays,pregame_off_epa,pregame_def_epa,pregame_pass_epa,pregame_rush_epa,pregame_success_rate,pregame_pace,games_played_before,current_season_weight
2016,1,2016_01_BUF_BAL,BAL,-0.10594157514236799,0.13894299552799858,0.08203249960874041,-0.38414320577400846,0.3870967741935484,62,62,48,-0.13703387827917124,-0.04026403413705701,-0.06178676268930337,-0.29569517662419903,0.388452831803509,69.67734018492045,0,0.0
2016,1,2016_01_BUF_BAL,BUF,-0.13894299552799858,0.10594157514236799,-0.08170053555125051,-0.19618545550474664,0.3541666666666667,48,48,62,0.04998574232383125,-0.04818588627637269,0.04757385356281903,0.04256794230136075,0.3988731521477452,65.01640703870984,0,0.0
2016,1,2016_01_CAR_DEN,CAR,0.03866157227857544,-0.002588532600467178,0.03302816344346901,0.04464706916587602,0.42424242424242425,66,66,55,0.1145256125612353,0.08712766224850083,0.1393721041084327,0.12263071533320287,0.4920648220594469,62.853377932096066,0,0.0
2016,1,2016_01_CAR_DEN,DEN,0.002588532600467178,-0.03866157227857544,-0.10168716658310066,0.11072629471675975,0.4909090909090909,55,55,66,-0.05142534237365503,0.12719515929052364,-0.05790497970591989,-0.0733583896972347,0.43235408302614087,66.46533387314082,0,0.0
2016,1,2016_01_CHI_HOU,CHI,-0.2111283346091147,-0.0202757937695122,-0.1628824286411092,-0.2931463747547241,0.3888888888888889,54,54,70,-0.007162068058572285,-0.10429491860455986,-0.031041349867499176,0.03206967954342983,0.45323236775899756,60.665230029856716,0,0.0
2016,1,2016_01_CHI_HOU,HOU,0.0202757937695122,0.2111283346091147,0.12550818476080067,-0.09771203855405364,0.4,70,70,54,-0.04400756234808264,0.31957931022424463,-0.01682140439033102,-0.046129501580406275,0.398937654032018,66.89514124389618,0,0.0
2016,1,2016_01_CIN_NYJ,CIN,0.14021589524327982,0.019849157510500485,0.20488085593007982,0.007293476053746417,0.4727272727272727,55,55,66,0.04139020020835148,0.09064097528641263,0.16266250201840893,-0.06363182041361315,0.42186788487041293,60.5815426495751,0,0.0
2016,1,2016_01_CIN_NYJ,NYJ,-0.019849157510500485,-0.14021589524327982,-0.046882179177060467,0.012590468489371487,0.3939393939393939,66,66,55,0.030762545858674724,0.10219169979003821,0.07112399600002606,-0.0048440140463168885,0.4083943584825205,64.72421707235222,0,0.0
2016,1,2016_01_CLE_PHI,CLE,-0.3678361846429476,-0.04557219492189679,-0.37886955966879027,-0.35259961913106963,0.32,50,50,73,-0.13477280443137296,-0.0375795598875973,-0.24839685426231134,0.016563649592922287,0.3838735893557628,66.74917142153419,0,0.0
2016,1,2016_01_CLE_PHI,PHI,0.04557219492189679,0.3678361846429476,0.13158244452262138,-0.0530866207965814,0.4383561643835616,73,73,50,-0.00541888481546321,-0.13763966288146862,0.08653593091652631,-0.20455843515699187,0.4452151088323521,67.4873078861617,0,0.0
