season,week,game_id,team,off_epa,def_epa,pass_epa,rush_epa,success_rate,pace,offensive_plays,defensive_plays
2015,1,2015_01_BAL_DEN,BAL,-0.384928220530272,0.24818783296887037,-0.5170016246740226,-0.1896892752742928,0.2807017543859649,57,57,68
2015,1,2015_01_BAL_DEN,DEN,-0.24818783296887037,0.384928220530272,-0.27380963798901176,-0.2012145237652779,0.3235294117647059,68,68,57
2015,1,2015_01_CAR_JAX,CAR,-0.0700752653378493,0.3074518199688452,-0.008466915048560786,-0.13168361562713782,0.36363636363636365,66,66,65
2015,1,2015_01_CAR_JAX,JAX,-0.3074518199688452,0.0700752653378493,-0.43380866895324777,-0.04270413638247798,0.38461538461538464,65,65,66
2015,1,2015_01_CIN_OAK,CIN,0.22532294981613615,0.1776150976232095,0.40898206413863164,0.00999847095527943,0.4444444444444444,63,63,62
2015,1,2015_01_CIN_OAK,LV,-0.1776150976232095,-0.22532294981613615,-0.08043390366345968,-0.45701103025749035,0.3548387096774194,62,62,63
2015,1,2015_01_CLE_NYJ,CLE,-0.2011333341987327,-0.14888688141442294,-0.11546387120283076,-0.3082201629436101,0.3968253968253968,63,63,59
2015,1,2015_01_CLE_NYJ,NYJ,0.14888688141442294,0.2011333341987327,0.43025086765894693,-0.044048423438964944,0.4576271186440678,59,59,63
2015,1,2015_01_DET_SD,DET,0.002264956087295085,-0.09211278372127157,-0.040509251220482254,0.08513998274611367,0.44680851063829785,47,47,72
2015,1,2015_01_DET_SD,LAC,0.09211278372127157,-0.002264956087295085,0.28857989914208776,-0.19920052535097307,0.5138888888888888,72,72,47
2015,1,2015_01_GB_CHI,CHI,0.11109015098143107,-0.394089664174153,0.006172849392586705,0.22872470124771116,0.45714285714285713,70,70,51
2015,1,2015_01_GB_CHI,GB,0.394089664174153,-0.11109015098143107,0.5821597206312669,0.23960354637009523,0.5686274509803921,51,51,70
2015,1,2015_01_IND_BUF,BUF,0.1736243675411826,-0.04437580446156367,0.5248756618618291,-0.02861122615858354,0.38461538461538464,52,52,69
2015,1,2015_01_IND_BUF,IND,0.04437580446156367,-0.1736243675411826,0.04297479043227678,0.04901666343357647,0.42028985507246375,69,69,52
2015,1,2015_01_KC_HOU,HOU,-0.14343260008466366,0.013261528309449707,-0.12206813716767585,-0.19735243506563296,0.44594594594594594,74,74,64
2015,1,2015_01_KC_HOU,KC,-0.013261528309449707,0.14343260008466366,0.17009160544037993,-0.23454979317993374,0.421875,64,64,74
2015,1,2015_01_MIA_WAS,MIA,-0.10058664557040482,0.05423489234924943,0.003930674212855564,-0.3280655180398539,0.42592592592592593,54,54,68
2015,1,2015_01_MIA_WAS,WAS,-0.05423489234924943,0.10058664557040482,0.0224723132841973,-0.12241907513453541,0.47058823529411764,68,68,54
2015,1,2015_01_MIN_SF,MIN,-0.3248241099837135,-0.21350032871144023,-0.4904054134303683,0.03555872692959383,0.3333333333333333,54,54,64
2015,1,2015_01_MIN_SF,SF,0.21350032871144023,0.3248241099837135,0.038995914174629075,0.34084138796803215,0.5625,64,64,54
