confidence_bucket,games,avg_model_confidence,actual_favorite_win_rate
50-55%,253,0.5254268803918247,0.5217391304347826
55-60%,199,0.5727148799058286,0.5628140703517588
60-65%,198,0.6244272639826606,0.6111111111111112
65-70%,155,0.6738229862997452,0.6709677419354839
70-75%,123,0.7230762361811295,0.7479674796747967
75-80%,94,0.7714180417816223,0.723404255319149
80-85%,53,0.8210235566627107,0.7735849056603774
85-90%,5,0.8734302804845363,1.0
90%+,4,0.9122338438249813,1.0
