test_season,model,accuracy,roc_auc,log_loss,brier_score,games
2022,Model A - Simple,0.6245353159851301,0.6780783477382422,0.6399519159353768,0.22435986472204164,269
2022,Model B - Current,0.6579925650557621,0.685093725446178,0.6387166715705316,0.22342385645960253,269
2022,Model C - Efficiency,0.654275092936803,0.689134583005949,0.6360324158654341,0.22221644477779404,269
2023,Model A - Simple,0.5919117647058824,0.6072464561326694,0.6750909019043054,0.2412765570501673,272
2023,Model B - Current,0.5625,0.6050024629193804,0.67888927978648,0.24271250853840845,272
2023,Model C - Efficiency,0.5698529411764706,0.6039625636254173,0.6794051094190704,0.2429612364074543,272
2024,Model A - Simple,0.6580882352941176,0.7081726853108878,0.6265744634023773,0.21829746932220231,272
2024,Model B - Current,0.6727941176470589,0.7072495248438773,0.6240579343218469,0.21727744640384505,272
2024,Model C - Efficiency,0.6727941176470589,0.7067607928319306,0.6251075373645243,0.2177216031930285,272
2025,Model A - Simple,0.6346863468634686,0.6854794520547945,0.6357113777455692,0.2230906482255778,271
2025,Model B - Current,0.6088560885608856,0.6935890410958904,0.6277668303733774,0.21975462543513533,271
2025,Model C - Efficiency,0.6088560885608856,0.692931506849315,0.6277370289825579,0.2197887020359325,271
