season,week,game_id,team,off_epa,def_epa,pass_epa,rush_epa,success_rate,pace,offensive_plays,defensive_plays
2025,1,2025_01_ARI_NO,ARI,0.043989166043527976,0.04165398697715263,0.04484703899588642,0.04290888158500254,0.4098360655737705,61,61,67
2025,1,2025_01_ARI_NO,NO,-0.04165398697715263,-0.043989166043527976,-0.07984859336851573,0.03647134427790826,0.43283582089552236,67,67,61
2025,1,2025_01_BAL_BUF,BAL,0.3856986985481338,-0.2349865763823882,0.4189724084660335,0.3616039430903444,0.5,50,50,77
2025,1,2025_01_BAL_BUF,BUF,0.2349865763823882,-0.3856986985481338,0.29191143439752415,0.13536807485590024,0.4935064935064935,77,77,50
2025,1,2025_01_CAR_JAX,CAR,-0.2563797084211179,-0.15245799652321068,-0.4278524880928261,0.0008294610864444015,0.35,60,60,60
2025,1,2025_01_CAR_JAX,JAX,0.15245799652321068,0.2563797084211179,0.04852573403405384,0.25639025901236756,0.48333333333333334,60,60,60
2025,1,2025_01_CIN_CLE,CIN,-0.10886814770917332,0.051202136508424784,-0.012753566816483541,-0.21751941306612696,0.40816326530612246,49,49,71
2025,1,2025_01_CIN_CLE,CLE,-0.051202136508424784,0.10886814770917332,-0.0391942024729802,-0.07471767399450376,0.39436619718309857,71,71,49
2025,1,2025_01_DAL_PHI,DAL,0.035278117869239026,-0.1604501459603092,0.035861040830335714,0.034403733427593994,0.45454545454545453,55,55,59
2025,1,2025_01_DAL_PHI,PHI,0.1604501459603092,-0.035278117869239026,0.06628133483405026,0.22502304501831533,0.5084745762711864,59,59,55
2025,1,2025_01_DET_GB,DET,-0.0622777864609656,-0.19962787307459212,0.031962275764993685,-0.25524553292364416,0.421875,64,64,46
2025,1,2025_01_DET_GB,GB,0.19962787307459212,0.0622777864609656,0.45751337509230317,-0.03676717044164298,0.43478260869565216,46,46,64
2025,1,2025_01_HOU_LA,HOU,-0.13239190355484282,0.03839154758130793,-0.286607832490679,0.03895912859608623,0.3684210526315789,57,57,55
2025,1,2025_01_HOU_LA,LA,-0.03839154758130793,0.13239190355484282,0.06178695518792665,-0.1777703340428517,0.41818181818181815,55,55,57
2025,1,2025_01_KC_LAC,KC,0.21523830751852047,-0.3200720840759058,0.08725319262866171,0.5239082904881798,0.46551724137931033,58,58,59
2025,1,2025_01_KC_LAC,LAC,0.3200720840759058,-0.21523830751852047,0.47479086920147634,0.05986321818290074,0.576271186440678,59,59,58
2025,1,2025_01_LV_NE,LV,0.11466681462113602,0.06607576636094871,0.3850758529911169,-0.320339029713181,0.43333333333333335,60,60,68
