model,accuracy,roc_auc,log_loss
Model C - Efficiency,0.6088560885608856,0.692931506849315,0.6277370289825579
Model B - Current,0.6088560885608856,0.6935890410958904,0.6277668303733774
Model A - Simple,0.6346863468634686,0.6854794520547945,0.6357113777455692
